MACHINE_TYPE,OPERATION,NORMALIZED_MILESTONE,NOTIFICATION_NUMBER,NOTIFICATION_DESCRIPTION,CAUSE_TEXT,BREAKDOWN_DURATION_MIN,Air_Issue_number,Air_Issue_Summary,Air_Issue_Status,ME_FUNCTIONAL_CLUSTER,B_CODE,Issue_Functional_cluster,Issue_Owner,Initiator,Solver,Leading_issue,Issue_Ownership_FC,FC_Match,Combined_FC,Artificial_Issue_Owner,Final_FC_score,Final_FC_topk,Artificial_Issue_Owner_Confidence,Order_number,Order_type,Variable_1_desc,Variable_3_desc,CC_Variable_1_desc_active,Equipment_affected_description,Bucketing_App_Owner,Order_number_norm,Functional_Cluster_Final_Owner,Final_Owner_Tier,BREAKDOWN_DURATION_HRS
NXT1980FI,M270876_T,MS03-06,210829044,CH door lock damaged,WH cover damaged,0,,,,005,B3 - Material damaged contaminated lost,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-005,MOID,0
NXT1980FI,M28216793 _T,MS03-06,210785088,QUALIFY THE WTC UNIT-New SN not accepted,Not clear procedure,0,,,,003,B0 - Undefined,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,0
NXT1980FI,M23793774_T,MS12-13,210761260,Amine filters NOK,No need for DN,0,,,,IC05,B3 - Logging redundant or unnecessary,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-005,MOID,0
NXT1980FI,M307267_T,MS03-06,210810253,BMAA.02 - Failed - AS-070A,GNPI MC's NOK,0,P682473,GNPI PARIS MC's not set to redundant mark set (SF) by default after install patch 903520,Closed,061,B8 - Design (HW/SW),FC-005,melmizar,bginneke,,,,FALSE,FC-005,,,,,210810253,Disturbance notif.,FC-061 ME-WA,7. Structural - added to AIR,FC-061 ME-WA,NXT4:1980FI,FC-061,210810253,FC-005,Official_AIR,0
NXT1980FI,M24031790_T,MS02B,210937671,Green Laser Box won't power on,FCP nitlck,471.35,P610897,4C/2CFCP non robust dip switches design causing Interlock issues - SIL 3 switch required,Open,005,B8 - Design (HW/SW),FC-005,megan,atork,,,,FALSE,FC-005,,,,,210937671,Disturbance notif.,FC-005 AL/WA,7. Structural - added to AIR,FC-005 AL/WA,NXT4:1980FI,FC-005,210937671,FC-005,Official_AIR,7.855833333333334
NXT1980FI,M3641100_T,MS02B,211082662,ACSB Pressure Switches - Red on MBDS,SHB EIM B105 NOK,464.1666667,P788911,SHB Siemens PLC B###-modules high failure rate - red leds on module,Open,057,B2 - Materials quality/ Upstream quality,FC-023,rdriesma,shansse1,,,FC-021 Electrical layout; FC-022 Mains; FC-023 Safety; FC-024 Computer systems; FC-025 Motion control; FC-041 Stage Power Cabinets,TRUE,FC-023 | FC-021 Electrical layout; FC-022 Mains; FC-023 Safety; FC-024 Computer systems; FC-025 Motion control; FC-041 Stage Power Cabinets,,,,,,,,,,,,,FC-023,Official_AIR,7.736111111111117
NXT1980FI,M25050483_T,MS03-06,211086895,Startup drivers failed - RQ-B009,"fail to init, airbearing pressure NOK",1774.166667,,,,062,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-062,MOID,29.56944444
NXT1980FI,M327440_T,MS,210725207,QRCR- MQ-NOK-lock range check,#NAME?,26.98333333,,,,004,B0 - Undefined,,,,,,,FALSE,,,,,NoEvidence,210725207,Disturbance notif.,FC-004 RS,6. Incident - Solved,FC-004 RS,NXT4:1980FI,FC-004,210725207,FC-004,Bucketing_App_Owner,0.44972222222222163
NXT1980FI,M21954677_T,MS,211065277,UPDT 90nm 3 warnings.,Wrong settings in DART,0,,,,IC03,B9 - Process Lab,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-003,MOID,0
NXT1980FI,M15452507_F,MS02B,210996823,excessive logging from CS parser,Switch firmware outdated,56.23333333,P746919,[SIMPLE TRACK] [Proto15][mBP09] SP33a Parser Error CS-7212,Closed,005,B2 - Materials quality/ Upstream quality,FC-024,hleende1,eayvaz,gozmen,,,FALSE,FC-024,,,,,210996823,Disturbance notif.,FC-005 AL/WA,7. Structural - added to AIR,FC-005 AL/WA,NXT4:1980FI,FC-005,210996823,FC-024,Official_AIR,0.9372222222222216
NXT1980FI,M293559_T,MS,211209187,Init  - Failed - Multiple errors,Timeout errors for startup drivers,33.3,,,,011,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-011,MOID,0.5549999999999999
NXT1980FI,M3975208_T,MS09,211003409,HIPF.05 - OOS - NWEN_FLOW + DIFFERENCE,OEIN adjustor wasnt locked,120,,,,015,B3 - Procedure / process is not followed,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-015,MOID,2
NXT1980FI,M4935333_T,MS03-06,210883162,HITV - OOC - Closed loop C2,Adjustment RCWC NOK,566.2333333,,,,015,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210883162,Disturbance notif.,FC-015 IH,5. Incident,FC-015 IH,NXT4:1980FI,FC-015,210883162,FC-015,Bucketing_App_Owner,9.437222222222216
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,210850876,Damage Y+ side IH,cause of the damage unknown,937.3666667,,,,IC16,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,15.622777777777783
NXT1980FI,M10882918_T,MS14A,211065491,Scratches on XCWC and RCWC cabinets,Scratch on RCWC and XCWC,1224.233333,,,,IC16,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,20.403888888888833
NXT1980FI,M269845_T,MS02B,211064775,SADR - Failed - SF-4809,Green laser Shutter NOK,22.75,,,,005,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,211064775,Disturbance notif.,FC-005 AL/WA,7. Structural - added to AIR,FC-005 AL/WA,NXT4:1980FI,FC-005,211064775,FC-005,Bucketing_App_Owner,0.37916666666666665
NXT1980FI,M7459142_T,MS,211151337,EMWC.11 - OOS - Chuck 2,EMWC NOK on chuck 2,123.0166667,P869295,WT contamination where likely cause is downstream of PLC,Open,062,B8 - Design (HW/SW),,kbroodry,kbroodry,,,FC-003 Wafer Positioning; FC-048 Wafer clamping; FC-050 Wafer table cleaning,FALSE,FC-003 Wafer Positioning; FC-048 Wafer clamping; FC-050 Wafer table cleaning,FC-048,0.23510687883041623,FC-048:0.235; FC-003:0.151,High,211151337,Disturbance notif.,FC-048 WT,,FC-048 WT,NXT4:1980FI,FC-048,211151337,FC-048,Bucketing_App_Owner,2.0502777777777834
NXT1980FI,M1444864_T,MS03-06,210803685,WBST NOK,"Grippers not ok, contaminated",1200.133333,P335411,Sustapeek Introduction to Mk5-7,Open,031,B2 - Materials quality/ Upstream quality,FC-001,rovoets,wbobrows,nschmitz,,,FALSE,FC-001,,,,,,,,,,,,,FC-001,Official_AIR,20.002222222222166
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,210983096,Operator has routine,,0,P756702,B3 - No manpower / Team meeting - NXT Prepack 2024,Open,IC16,B3 - No manpower,,mthijss2,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.021131617744615035,IC-016:0.021,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,0
